Census_Tract,FIPS ,CITYNAME,Service_Area,Male,Female,White,African_American,Native_ American,Asian,Pacific Islander,Other,Multi-Race,Latino,Total_Population,GEOID,Tract,Tract Number,Neighborhood,Location,Latitude,Longitude
104201,44000,Los Angeles city - Pacoima,2,2732,2658,50,399,4,6,0,5,37,4889,5390,1400000US06037104201,"Census Tract 1042.01, Los Angeles County, California",104201,Pacoima,"(34.2867415, -118.4160805)",34.2867415,-118.41608049999999
104203,44000,Los Angeles city - Pacoima,2,2912,2872,69,304,10,55,10,18,22,5296,5784,1400000US06037104203,"Census Tract 1042.03, Los Angeles County, California",104203,Pacoima,"(34.279058, -118.411554)",34.279058,-118.41155400000001
104204,44000,Los Angeles city - Lakeview Terrace,2,526,507,72,58,0,186,2,0,12,703,1033,1400000US06037104204,"Census Tract 1042.04, Los Angeles County, California",104204,Lake View Terrace,"(34.2886315, -118.396898)",34.2886315,-118.396898
104204,44000,Los Angeles city - Pacoima,2,953,909,153,138,2,35,0,3,0,1531,1862,1400000US06037104204,"Census Tract 1042.04, Los Angeles County, California",104204,Lake View Terrace,"(34.2886315, -118.396898)",34.2886315,-118.396898
104204,99037,Unincorporated County - Kagel/Lopez Canyons,2,266,271,57,6,0,26,0,1,4,443,537,1400000US06037104204,"Census Tract 1042.04, Los Angeles County, California",104204,Lake View Terrace,"(34.2886315, -118.396898)",34.2886315,-118.396898
104310,44000,Los Angeles city - Pacoima,2,2727,2732,87,181,3,8,0,6,11,5163,5459,1400000US06037104310,"Census Tract 1043.10, Los Angeles County, California",104310,Pacoima,"(34.2762555, -118.4293915)",34.2762555,-118.42939150000001
104320,44000,Los Angeles city - Pacoima,2,3353,3217,79,317,11,66,0,4,24,6069,6570,1400000US06037104320,"Census Tract 1043.20, Los Angeles County, California",104320,Pacoima,"(34.27316, -118.4202235)",34.27316,-118.4202235
104401,44000,Los Angeles city - Pacoima,2,1867,1831,71,2,11,19,1,1,4,3589,3698,1400000US06037104401,"Census Tract 1044.01, Los Angeles County, California",104401,Pacoima,"(34.2670615, -118.433071)",34.2670615,-118.433071
104403,44000,Los Angeles city - Pacoima,2,1803,1770,57,16,4,28,0,13,1,3454,3573,1400000US06037104403,"Census Tract 1044.03, Los Angeles County, California",104403,Pacoima,"(34.2589085, -118.4345385)",34.258908500000004,-118.4345385
104404,44000,Los Angeles city - Pacoima,2,1844,1744,61,32,7,13,0,5,9,3461,3588,1400000US06037104404,"Census Tract 1044.04, Los Angeles County, California",104404,Pacoima,"(34.2639205, -118.4286915)",34.263920500000005,-118.4286915
104500,44000,Los Angeles city - Pacoima,2,1856,1788,124,17,1,21,2,1,1,3477,3644,1400000US06037104500,"Census Tract 1045, Los Angeles County, California",104500,Pacoima,"(34.25551, -118.4257485)",34.25551,-118.42574850000001
104610,44000,Los Angeles city - Pacoima,2,2131,1959,45,13,6,11,6,5,15,3989,4090,1400000US06037104610,"Census Tract 1046.10, Los Angeles County, California",104610,Pacoima,"(34.2604335, -118.4189955)",34.260433500000005,-118.41899550000001
104620,44000,Los Angeles city - Pacoima,2,1968,1937,71,8,20,12,0,2,5,3787,3905,1400000US06037104620,"Census Tract 1046.20, Los Angeles County, California",104620,Pacoima,"(34.2579045, -118.422465)",34.257904499999995,-118.42246499999999
104701,44000,Los Angeles city - Pacoima,2,2254,2434,37,140,3,10,0,11,9,4478,4688,1400000US06037104701,"Census Tract 1047.01, Los Angeles County, California",104701,Pacoima,"(34.268476, -118.4152165)",34.268476,-118.4152165
104703,44000,Los Angeles city - Pacoima,2,1421,1276,76,39,1,6,0,0,15,2560,2697,1400000US06037104703,"Census Tract 1047.03, Los Angeles County, California",104703,Pacoima,"(34.2551165, -118.399872)",34.2551165,-118.399872
104704,44000,Los Angeles city - Pacoima,2,2355,2409,259,593,10,151,12,5,23,3711,4764,1400000US06037104704,"Census Tract 1047.04, Los Angeles County, California",104704,Pacoima,"(34.2625155, -118.4088415)",34.262515500000006,-118.40884150000001
104810,44000,Los Angeles city - Pacoima,2,2974,2898,149,25,3,102,21,6,17,5549,5872,1400000US06037104810,"Census Tract 1048.10, Los Angeles County, California",104810,Pacoima,"(34.2502955, -118.411179)",34.2502955,-118.411179
104821,44000,Los Angeles city - Pacoima,2,1988,1893,117,44,5,66,0,6,11,3632,3881,1400000US06037104821,"Census Tract 1048.21, Los Angeles County, California",104821,Pacoima,"(34.2465705, -118.416294)",34.246570500000004,-118.416294
104822,44000,Los Angeles city - Pacoima,2,1215,1269,74,37,1,153,0,2,13,2204,2484,1400000US06037104822,"Census Tract 1048.22, Los Angeles County, California",104822,Pacoima,"(34.245882, -118.4209225)",34.245882,-118.4209225
