Census_Tract,FIPS ,CITYNAME,Service_Area,Male,Female,White,African_American,Native_ American,Asian,Pacific Islander,Other,Multi-Race,Latino,Total_Population,GEOID,Tract,Tract Number,Neighborhood,Location,Latitude,Longitude
189202,44000,Los Angeles city - Los Feliz,4,1414,1395,2019,36,5,338,1,11,100,299,2809,1400000US06037189202,"Census Tract 1892.02, Los Angeles County, California",189202,Los Feliz,"(34.111557, -118.295845)",34.111557,-118.295845
189300,44000,Los Angeles city - Los Feliz,4,1626,1525,2398,70,1,396,0,8,90,188,3151,1400000US06037189300,"Census Tract 1893, Los Angeles County, California",189300,Los Feliz,"(34.112585, -118.306918)",34.112584999999996,-118.306918
189400,44000,Los Angeles city - Hollywood Hills,4,1843,1787,2954,100,7,177,2,16,151,223,3630,1400000US06037189400,"Census Tract 1894, Los Angeles County, California",189400,Hollywood Hills,"(34.120601, -118.3214985)",34.120601,-118.3214985
189500,44000,Los Angeles city - Hollywood Hills,4,2571,2211,3469,223,14,306,2,23,152,593,4782,1400000US06037189500,"Census Tract 1895, Los Angeles County, California",189500,Hollywood Hills,"(34.109247, -118.3218185)",34.109246999999996,-118.3218185
189600,44000,Los Angeles city - Hollywood Hills,4,2055,1571,2598,180,8,189,2,6,127,516,3626,1400000US06037189600,"Census Tract 1896, Los Angeles County, California",189600,Hollywood Hills,"(34.1127975, -118.330591)",34.1127975,-118.330591
189701,44000,Los Angeles city - Hollywood Hills,4,2213,1919,2921,208,7,369,3,23,146,455,4132,1400000US06037189701,"Census Tract 1897.01, Los Angeles County, California",189701,Hollywood Hills,"(34.129416, -118.3366605)",34.129416,-118.3366605
189702,44000,Los Angeles city - Hollywood Hills,4,1239,1033,1715,93,5,137,3,7,87,225,2272,1400000US06037189702,"Census Tract 1897.02, Los Angeles County, California",189702,Hollywood Hills,"(34.1137465, -118.3421255)",34.113746500000005,-118.3421255
189800,44000,Los Angeles city - Hollywood,4,2326,1996,3335,176,4,235,1,7,110,454,4322,1400000US06037189800,"Census Tract 1898, Los Angeles County, California",189800,Hollywood,"(34.0980545, -118.359927)",34.098054499999996,-118.359927
189902,44000,Los Angeles city - Hollywood,4,3037,2931,4468,230,10,398,14,24,169,655,5968,1400000US06037189902,"Census Tract 1899.02, Los Angeles County, California",189902,Hollywood,"(34.0961785, -118.3490045)",34.0961785,-118.34900449999999
189903,44000,Los Angeles city - Hollywood,4,1235,998,1713,106,3,142,3,13,65,188,2233,1400000US06037189903,"Census Tract 1899.03, Los Angeles County, California",189903,Hollywood,"(34.1026455, -118.34759)",34.1026455,-118.34759
189904,44000,Los Angeles city - Hollywood,4,1230,1140,1666,99,3,175,1,11,100,315,2370,1400000US06037189904,"Census Tract 1899.04, Los Angeles County, California",189904,Hollywood,"(34.099793, -118.346538)",34.099793,-118.346538
189905,44000,Los Angeles city - Hollywood,4,1205,1119,1816,79,4,129,2,10,71,213,2324,1400000US06037189905,"Census Tract 1899.05, Los Angeles County, California",189905,Hollywood,"(34.100732, -118.3514465)",34.100732,-118.35144650000001
190100,44000,Los Angeles city - Hollywood,4,2735,1955,2959,330,13,402,5,13,121,847,4690,1400000US06037190100,"Census Tract 1901, Los Angeles County, California",190100,Hollywood,"(34.0992315, -118.3421205)",34.0992315,-118.34212050000001
190201,44000,Los Angeles city - Hollywood,4,1552,1357,1361,249,21,153,6,8,72,1039,2909,1400000US06037190201,"Census Tract 1902.01, Los Angeles County, California",190201,Hollywood,"(34.1034935, -118.330009)",34.1034935,-118.330009
190202,44000,Los Angeles city - Hollywood,4,1869,1250,1718,232,18,297,7,14,108,725,3119,1400000US06037190202,"Census Tract 1902.02, Los Angeles County, California",190202,Hollywood,"(34.1033925, -118.335128)",34.1033925,-118.335128
190301,44000,Los Angeles city - Hollywood,4,2453,2248,2850,198,6,321,1,22,128,1175,4701,1400000US06037190301,"Census Tract 1903.01, Los Angeles County, California",190301,Hollywood,"(34.103533, -118.3178)",34.103533,-118.3178
190401,44000,Los Angeles city - Thai Town,4,1613,1583,1896,118,11,362,1,6,108,694,3196,1400000US06037190401,"Census Tract 1904.01, Los Angeles County, California",190401,Los Feliz,"(34.1035725, -118.302783)",34.1035725,-118.302783
190402,44000,Los Angeles city - Thai Town,4,1283,1284,1501,113,3,381,1,5,92,471,2567,1400000US06037190402,"Census Tract 1904.02, Los Angeles County, California",190402,Los Feliz,"(34.103557, -118.307149)",34.103557,-118.307149
190510,44000,Los Angeles city - Hollywood,4,2244,2176,1412,308,8,806,5,11,105,1765,4420,1400000US06037190510,"Census Tract 1905.10, Los Angeles County, California",190510,Hollywood,"(34.0999045, -118.3118915)",34.0999045,-118.3118915
190520,44000,Los Angeles city - Thai Town,4,1888,1971,1582,99,4,570,0,20,90,1494,3859,1400000US06037190520,"Census Tract 1905.20, Los Angeles County, California",190520,East Hollywood,"(34.0999325, -118.303805)",34.0999325,-118.30380500000001
190700,44000,Los Angeles city - Hollywood,4,1944,1402,1592,265,12,219,10,10,86,1152,3346,1400000US06037190700,"Census Tract 1907, Los Angeles County, California",190700,Hollywood,"(34.098, -118.332675)",34.098,-118.332675
190801,44000,Los Angeles city - Hollywood,4,1387,1189,881,160,4,216,3,13,52,1247,2576,1400000US06037190801,"Census Tract 1908.01, Los Angeles County, California",190801,Hollywood,"(34.0943795, -118.3244635)",34.094379499999995,-118.32446350000001
190802,44000,Los Angeles city - Hollywood,4,1563,1269,963,102,5,254,1,11,38,1458,2832,1400000US06037190802,"Census Tract 1908.02, Los Angeles County, California",190802,Hollywood,"(34.094359, -118.3299175)",34.094359000000004,-118.32991750000001
190901,44000,Los Angeles city - Hollywood,4,2630,2398,688,152,4,249,2,9,42,3882,5028,1400000US06037190901,"Census Tract 1909.01, Los Angeles County, California",190901,Hollywood,"(34.094431, -118.3124765)",34.094431,-118.31247649999999
190902,44000,Los Angeles city - Hollywood,4,2212,1910,1112,116,1,271,2,27,50,2543,4122,1400000US06037190902,"Census Tract 1909.02, Los Angeles County, California",190902,Hollywood,"(34.0944055, -118.319012)",34.0944055,-118.31901200000001
191000,44000,Los Angeles city - Hollywood,4,2493,1799,1536,346,17,314,6,12,111,1950,4292,1400000US06037191000,"Census Tract 1910, Los Angeles County, California",191000,Hollywood,"(34.1016045, -118.320651)",34.1016045,-118.320651
191110,44000,Los Angeles city - Little Armenia,4,1545,1721,1508,80,7,329,2,14,75,1251,3266,1400000US06037191110,"Census Tract 1911.10, Los Angeles County, California",191110,East Hollywood,"(34.096507, -118.304869)",34.096507,-118.304869
191120,44000,Los Angeles city - Little Armenia,4,2086,2121,1194,136,6,414,2,20,101,2334,4207,1400000US06037191120,"Census Tract 1911.20, Los Angeles County, California",191120,East Hollywood,"(34.0929955, -118.3048465)",34.0929955,-118.30484650000001
191201,44000,Los Angeles city - East Hollywood,4,2170,2418,2239,113,13,648,10,24,124,1417,4588,1400000US06037191201,"Census Tract 1912.01, Los Angeles County, California",191201,East Hollywood,"(34.0985005, -118.296143)",34.0985005,-118.29614299999999
191203,44000,Los Angeles city - East Hollywood,4,1556,1515,813,141,7,644,0,5,69,1392,3071,1400000US06037191203,"Census Tract 1912.03, Los Angeles County, California",191203,East Hollywood,"(34.093198, -118.293925)",34.093198,-118.293925
191204,44000,Los Angeles city - East Hollywood,4,1113,1087,714,52,2,357,3,10,43,1019,2200,1400000US06037191204,"Census Tract 1912.04, Los Angeles County, California",191204,East Hollywood,"(34.0931035, -118.2982805)",34.0931035,-118.29828049999999
191301,44000,Los Angeles city - East Hollywood,4,1187,1255,416,104,3,496,0,2,30,1391,2442,1400000US06037191301,"Census Tract 1913.01, Los Angeles County, California",191301,East Hollywood,"(34.092753, -118.286057)",34.092753,-118.286057
191302,44000,Los Angeles city - East Hollywood,4,1295,1271,505,79,6,677,1,9,47,1242,2566,1400000US06037191302,"Census Tract 1913.02, Los Angeles County, California",191302,East Hollywood,"(34.0973365, -118.287285)",34.0973365,-118.28728500000001
191410,44000,Los Angeles city - East Hollywood,4,2712,2614,286,161,6,768,10,21,61,4013,5326,1400000US06037191410,"Census Tract 1914.10, Los Angeles County, California",191410,East Hollywood,"(34.0887575, -118.288114)",34.0887575,-118.288114
191420,44000,Los Angeles city - East Hollywood,4,1852,1740,316,49,0,668,1,12,42,2504,3592,1400000US06037191420,"Census Tract 1914.20, Los Angeles County, California",191420,East Hollywood,"(34.085129, -118.2880925)",34.085128999999995,-118.2880925
191500,44000,Los Angeles city - East Hollywood,4,3063,2882,946,79,16,1109,0,19,83,3693,5945,1400000US06037191500,"Census Tract 1915, Los Angeles County, California",191500,East Hollywood,"(34.0872185, -118.296096)",34.0872185,-118.29609599999999
191610,44000,Los Angeles city - Melrose,4,2476,2323,485,71,2,542,0,31,56,3612,4799,1400000US06037191610,"Census Tract 1916.10, Los Angeles County, California",191610,East Hollywood,"(34.0871475, -118.304811)",34.0871475,-118.30481100000002
191620,44000,Los Angeles city - Melrose,4,1415,1385,491,92,9,373,0,7,30,1798,2800,1400000US06037191620,"Census Tract 1916.20, Los Angeles County, California",191620,East Hollywood,"(34.0877515, -118.3035155)",34.0877515,-118.3035155
191710,44000,Los Angeles city - Melrose,4,1726,1666,644,81,1,305,5,5,55,2296,3392,1400000US06037191710,"Census Tract 1917.10, Los Angeles County, California",191710,Hollywood,"(34.0871295, -118.315709)",34.087129499999996,-118.31570900000001
191720,44000,Los Angeles city - Melrose,4,2078,1952,529,119,0,355,3,9,31,2984,4030,1400000US06037191720,"Census Tract 1917.20, Los Angeles County, California",191720,Hollywood,"(34.0887225, -118.3124455)",34.088722499999996,-118.31244550000001
191810,44000,Los Angeles city - Melrose,4,1965,1732,623,150,2,147,1,25,51,2698,3697,1400000US06037191810,"Census Tract 1918.10, Los Angeles County, California",191810,Hollywood,"(34.088927, -118.327716)",34.088927000000005,-118.327716
191820,44000,Los Angeles city - Melrose,4,1454,1342,799,119,4,299,6,22,53,1494,2796,1400000US06037191820,"Census Tract 1918.20, Los Angeles County, California",191820,Hollywood,"(34.0852895, -118.3276995)",34.0852895,-118.32769950000001
191901,44000,Los Angeles city - Melrose,4,1980,1510,1848,217,7,340,7,50,96,925,3490,1400000US06037191901,"Census Tract 1919.01, Los Angeles County, California",191901,Hollywood,"(34.0907325, -118.3386055)",34.0907325,-118.3386055
191902,44000,Los Angeles city - Melrose,4,1526,1515,2137,96,4,297,2,11,80,414,3041,1400000US06037191902,"Census Tract 1919.02, Los Angeles County, California",191902,Hollywood,"(34.0836865, -118.338593)",34.0836865,-118.33859299999999
192001,44000,Los Angeles city - Melrose,4,1203,1246,1869,81,5,130,3,3,69,289,2449,1400000US06037192001,"Census Tract 1920.01, Los Angeles County, California",192001,Fairfax,"(34.084605, -118.3484225)",34.084604999999996,-118.34842250000001
192002,44000,Los Angeles city - Melrose,4,1530,1331,2256,65,6,169,2,5,133,225,2861,1400000US06037192002,"Census Tract 1920.02, Los Angeles County, California",192002,Fairfax,"(34.083696, -118.355049)",34.083696,-118.355049
192300,44000,Los Angeles city - Melrose,4,1400,1476,1897,117,0,500,0,10,121,231,2876,1400000US06037192300,"Census Tract 1923, Los Angeles County, California",192300,Hancock Park,"(34.079664, -118.3286955)",34.079664,-118.32869550000001
192410,44000,Los Angeles city - Melrose,4,1901,1977,1717,118,3,934,2,17,111,976,3878,1400000US06037192410,"Census Tract 1924.10, Los Angeles County, California",192410,Larchmont,"(34.079853, -118.3180955)",34.079853,-118.31809550000001
192420,44000,Los Angeles city - Melrose,4,1920,1964,411,103,7,1526,4,23,60,1750,3884,1400000US06037192420,"Census Tract 1924.20, Los Angeles County, California",192420,Larchmont,"(34.07987, -118.311338)",34.07987,-118.31133799999999
192510,44000,Los Angeles city - Melrose,4,1913,1997,162,40,4,1686,1,15,36,1966,3910,1400000US06037192510,"Census Tract 1925.10, Los Angeles County, California",192510,East Hollywood,"(34.07989, -118.3068095)",34.07989,-118.3068095
192520,44000,Los Angeles city - Melrose,4,2807,2667,247,58,3,943,0,13,57,4153,5474,1400000US06037192520,"Census Tract 1925.20, Los Angeles County, California",192520,East Hollywood,"(34.079912, -118.302506)",34.079912,-118.30250600000001
192610,44000,Los Angeles city - Melrose,4,2407,2272,347,107,11,633,3,15,63,3500,4679,1400000US06037192610,"Census Tract 1926.10, Los Angeles County, California",192610,East Hollywood,"(34.0818485, -118.296073)",34.0818485,-118.29607299999999
192620,44000,Los Angeles city - Melrose,4,2119,2022,211,101,12,882,2,19,49,2865,4141,1400000US06037192620,"Census Tract 1926.20, Los Angeles County, California",192620,East Hollywood,"(34.0776705, -118.296054)",34.0776705,-118.296054
192700,44000,Los Angeles city - Silverlake,4,1873,1749,334,171,9,862,7,5,64,2170,3622,1400000US06037192700,"Census Tract 1927, Los Angeles County, California",192700,East Hollywood,"(34.0799595, -118.2880545)",34.079959499999994,-118.28805449999999
194101,44000,Los Angeles city - Hollywood Hills,4,1791,1425,2470,125,8,185,2,7,122,297,3216,1400000US06037194101,"Census Tract 1941.01, Los Angeles County, California",194101,Hollywood Hills West,"(34.113159, -118.352492)",34.113159,-118.352492
194102,44000,Los Angeles city - Hollywood Hills,4,1970,1619,2902,106,4,247,3,16,116,195,3589,1400000US06037194102,"Census Tract 1941.02, Los Angeles County, California",194102,Hollywood Hills West,"(34.116151, -118.365906)",34.116151,-118.36590600000001
194200,44000,Los Angeles city - Hollywood,4,2129,1607,3108,66,4,145,0,25,119,269,3736,1400000US06037194200,"Census Tract 1942, Los Angeles County, California",194200,Hollywood Hills West,"(34.1037495, -118.3746145)",34.1037495,-118.3746145
194300,44000,Los Angeles city - Hollywood,4,1792,1348,2665,64,3,120,3,6,103,176,3140,1400000US06037194300,"Census Tract 1943, Los Angeles County, California",194300,Hollywood Hills West,"(34.102775, -118.3877725)",34.102775,-118.38777250000001
194401,44000,Los Angeles city - Melrose,4,1261,1227,1907,65,1,163,2,9,80,261,2488,1400000US06037194401,"Census Tract 1944.01, Los Angeles County, California",194401,Beverly Grove,"(34.08455, -118.3641455)",34.08455,-118.3641455
194402,44000,Los Angeles city - Melrose,4,2176,1887,3216,88,7,272,9,10,96,365,4063,1400000US06037194402,"Census Tract 1944.02, Los Angeles County, California",194402,Beverly Grove,"(34.0851935, -118.3719725)",34.0851935,-118.37197250000001
194500,44000,Los Angeles city - Melrose,4,1032,1043,1682,38,1,136,0,5,85,128,2075,1400000US06037194500,"Census Tract 1945, Los Angeles County, California",194500,Beverly Grove,"(34.079028, -118.370116)",34.079028,-118.370116
195100,44000,Los Angeles city - Silverlake,4,2515,2295,3007,141,2,744,5,12,232,667,4810,1400000US06037195100,"Census Tract 1951, Los Angeles County, California",195100,Silver Lake,"(34.1005075, -118.268184)",34.1005075,-118.268184
195201,44000,Los Angeles city - Silverlake,4,1489,1457,1917,62,2,362,4,13,111,475,2946,1400000US06037195201,"Census Tract 1952.01, Los Angeles County, California",195201,Los Feliz,"(34.1079075, -118.2783115)",34.1079075,-118.2783115
195202,44000,Los Angeles city - Silverlake,4,1781,1593,2274,70,8,432,2,7,130,451,3374,1400000US06037195202,"Census Tract 1952.02, Los Angeles County, California",195202,Los Feliz,"(34.102058, -118.279132)",34.102058,-118.279132
195300,44000,Los Angeles city - Silverlake,4,1697,1663,1718,56,7,469,0,6,106,998,3360,1400000US06037195300,"Census Tract 1953, Los Angeles County, California",195300,Los Feliz,"(34.098795, -118.285197)",34.098795,-118.285197
195400,44000,Los Angeles city - Silverlake,4,2455,2104,2442,127,6,620,2,17,142,1203,4559,1400000US06037195400,"Census Tract 1954, Los Angeles County, California",195400,Silver Lake,"(34.089784, -118.274927)",34.089784,-118.274927
195500,44000,Los Angeles city - Silverlake,4,2667,2571,2295,93,2,951,6,28,165,1698,5238,1400000US06037195500,"Census Tract 1955, Los Angeles County, California",195500,Silver Lake,"(34.089488, -118.2664995)",34.089488,-118.26649950000001
195600,44000,Los Angeles city - Silverlake,4,1744,1714,856,84,3,482,4,15,82,1932,3458,1400000US06037195600,"Census Tract 1956, Los Angeles County, California",195600,Echo Park,"(34.0810905, -118.266765)",34.0810905,-118.26676499999999
195710,44000,Los Angeles city - Historic Filipinotown,4,781,748,99,20,0,166,0,17,1,1226,1529,1400000US06037195710,"Census Tract 1957.10, Los Angeles County, California",195710,Echo Park,"(34.0748915, -118.2684815)",34.0748915,-118.2684815
195710,44000,Los Angeles city - Temple-Beaudry,4,1456,1338,411,57,6,403,0,8,40,1869,2794,1400000US06037195710,"Census Tract 1957.10, Los Angeles County, California",195710,Echo Park,"(34.0748915, -118.2684815)",34.0748915,-118.2684815
195720,44000,Los Angeles city - Temple-Beaudry,4,1278,1139,418,27,5,178,2,7,32,1748,2417,1400000US06037195720,"Census Tract 1957.20, Los Angeles County, California",195720,Echo Park,"(34.0738655, -118.2637)",34.073865500000004,-118.2637
195802,44000,Los Angeles city - Historic Filipinotown,4,852,833,49,1,1,447,0,5,8,1174,1685,1400000US06037195802,"Census Tract 1958.02, Los Angeles County, California",195802,Westlake,"(34.0756415, -118.2780525)",34.075641499999996,-118.27805249999999
195802,44000,Los Angeles city - Temple-Beaudry,4,633,593,111,70,1,365,0,0,4,675,1226,1400000US06037195802,"Census Tract 1958.02, Los Angeles County, California",195802,Westlake,"(34.0756415, -118.2780525)",34.075641499999996,-118.27805249999999
195803,44000,Los Angeles city - Temple-Beaudry,4,1427,1269,875,40,12,422,3,5,55,1284,2696,1400000US06037195803,"Census Tract 1958.03, Los Angeles County, California",195803,Silver Lake,"(34.0824335, -118.277218)",34.0824335,-118.27721799999999
195804,44000,Los Angeles city - Temple-Beaudry,4,1417,1326,657,66,3,476,2,19,46,1474,2743,1400000US06037195804,"Census Tract 1958.04, Los Angeles County, California",195804,Silver Lake,"(34.0790005, -118.2729125)",34.0790005,-118.2729125
195901,44000,Los Angeles city - Silverlake,4,1196,1111,1009,94,7,230,3,12,66,886,2307,1400000US06037195901,"Census Tract 1959.01, Los Angeles County, California",195901,Silver Lake,"(34.0880975, -118.2816585)",34.088097499999996,-118.28165849999999
195902,44000,Los Angeles city - Silverlake,4,1041,939,959,44,4,280,4,11,64,614,1980,1400000US06037195902,"Census Tract 1959.02, Los Angeles County, California",195902,Silver Lake,"(34.08661, -118.279689)",34.08661,-118.27968899999999
195903,44000,Los Angeles city - Silverlake,4,1186,1138,521,69,6,499,1,0,46,1182,2324,1400000US06037195903,"Census Tract 1959.03, Los Angeles County, California",195903,Silver Lake,"(34.080591, -118.2818)",34.080591,-118.2818
197200,44000,Los Angeles city - Elysian Valley,4,1933,2028,129,31,7,1595,0,7,37,2155,3961,1400000US06037197200,"Census Tract 1972, Los Angeles County, California",197200,Elysian Valley,"(34.0898635, -118.2358515)",34.0898635,-118.2358515
197300,44000,Los Angeles city - Echo Park,4,2090,2020,1362,59,7,764,1,3,115,1799,4110,1400000US06037197300,"Census Tract 1973, Los Angeles County, California",197300,Echo Park,"(34.0815145, -118.2517655)",34.081514500000004,-118.2517655
197410,44000,Los Angeles city - Echo Park,4,1171,1167,1028,26,1,253,1,9,40,980,2338,1400000US06037197410,"Census Tract 1974.10, Los Angeles County, California",197410,Echo Park,"(34.094369, -118.2512135)",34.094369,-118.2512135
197410,44000,Los Angeles city - Elysian Valley,4,658,641,681,17,1,120,0,0,39,441,1299,1400000US06037197410,"Census Tract 1974.10, Los Angeles County, California",197410,Echo Park,"(34.094369, -118.2512135)",34.094369,-118.2512135
197420,44000,Los Angeles city - Echo Park,4,1832,1775,839,59,12,430,1,22,62,2182,3607,1400000US06037197420,"Census Tract 1974.20, Los Angeles County, California",197420,Echo Park,"(34.082834, -118.2561185)",34.082834000000005,-118.2561185
197500,44000,Los Angeles city - Echo Park,4,2067,2053,1014,76,10,554,1,11,72,2382,4120,1400000US06037197500,"Census Tract 1975, Los Angeles County, California",197500,Echo Park,"(34.0729805, -118.256785)",34.0729805,-118.25678500000001
197600,44000,Los Angeles city - Angelino Heights,4,1253,1269,508,52,5,527,0,2,35,1393,2522,1400000US06037197600,"Census Tract 1976, Los Angeles County, California",197600,Echo Park,"(34.0683535, -118.251864)",34.0683535,-118.25186399999998
197700,44000,Los Angeles city - Elysian Park,4,2810,2809,518,117,11,3205,6,13,92,1657,5619,1400000US06037197700,"Census Tract 1977, Los Angeles County, California",197700,Chinatown,"(34.068935, -118.2444855)",34.068934999999996,-118.2444855
199000,44000,Los Angeles city - Lincoln Heights,4,2697,2773,123,49,7,1922,1,10,15,3343,5470,1400000US06037199000,"Census Tract 1990, Los Angeles County, California",199000,Lincoln Heights,"(34.081284, -118.21934)",34.081284000000004,-118.21933999999999
199110,44000,Los Angeles city - Lincoln Heights,4,1493,1390,120,31,4,153,0,2,26,2547,2883,1400000US06037199110,"Census Tract 1991.10, Los Angeles County, California",199110,Montecito Heights,"(34.0797765, -118.197148)",34.0797765,-118.197148
199120,44000,Los Angeles city - Lincoln Heights,4,2069,2260,98,51,17,918,1,15,16,3213,4329,1400000US06037199120,"Census Tract 1991.20, Los Angeles County, California",199120,Lincoln Heights,"(34.0713815, -118.200508)",34.0713815,-118.20050800000001
199201,44000,Los Angeles city - Lincoln Heights,4,2171,2197,116,35,5,1159,1,12,19,3021,4368,1400000US06037199201,"Census Tract 1992.01, Los Angeles County, California",199201,Lincoln Heights,"(34.076463, -118.211518)",34.076463000000004,-118.211518
199202,44000,Los Angeles city - Lincoln Heights,4,1585,1600,220,70,2,312,4,2,34,2541,3185,1400000US06037199202,"Census Tract 1992.02, Los Angeles County, California",199202,Montecito Heights,"(34.0810735, -118.2029945)",34.081073499999995,-118.2029945
199300,44000,Los Angeles city - Lincoln Heights,4,2056,2005,695,113,23,412,1,12,87,2718,4061,1400000US06037199300,"Census Tract 1993, Los Angeles County, California",199300,Montecito Heights,"(34.0915875, -118.2007585)",34.0915875,-118.20075849999999
199400,44000,Los Angeles city - Mt. Washington,4,2427,2487,181,36,4,870,2,4,39,3778,4914,1400000US06037199400,"Census Tract 1994, Los Angeles County, California",199400,Montecito Heights,"(34.0875695, -118.209014)",34.0875695,-118.209014
199700,44000,Los Angeles city - Wholesale District,4,1849,1731,383,28,7,654,1,3,21,2483,3580,1400000US06037199700,"Census Tract 1997, Los Angeles County, California",199700,Lincoln Heights,"(34.0679435, -118.221008)",34.0679435,-118.22100800000001
199800,44000,Los Angeles city - Lincoln Heights,4,2978,2987,85,14,8,2125,0,7,18,3708,5965,1400000US06037199800,"Census Tract 1998, Los Angeles County, California",199800,Lincoln Heights,"(34.070658, -118.2103495)",34.070658,-118.2103495
199900,44000,Los Angeles city - Lincoln Heights,4,1482,1426,30,26,0,508,7,16,8,2313,2908,1400000US06037199900,"Census Tract 1999, Los Angeles County, California",199900,Lincoln Heights,"(34.0639545, -118.2104575)",34.0639545,-118.21045749999999
201110,44000,Los Angeles city - El Sereno,4,1328,1378,189,37,7,255,0,5,8,2205,2706,1400000US06037201110,"Census Tract 2011.10, Los Angeles County, California",201110,El Sereno,"(34.095485, -118.1746015)",34.095485,-118.1746015
201120,44000,Los Angeles city - El Sereno,4,2177,2158,236,79,5,402,1,4,29,3579,4335,1400000US06037201120,"Census Tract 2011.20, Los Angeles County, California",201120,El Sereno,"(34.094111, -118.1626205)",34.094111,-118.1626205
201200,44000,Los Angeles city - El Sereno,4,1329,1355,74,11,2,182,1,7,3,2404,2684,1400000US06037201200,"Census Tract 2012, Los Angeles County, California",201200,El Sereno,"(34.0890575, -118.177957)",34.0890575,-118.177957
201301,44000,Los Angeles city - El Sereno,4,1765,1836,184,79,13,422,0,4,27,2872,3601,1400000US06037201301,"Census Tract 2013.01, Los Angeles County, California",201301,Montecito Heights,"(34.088628, -118.187094)",34.088628,-118.18709399999999
201302,44000,Los Angeles city - Highland Park,4,1796,2171,995,262,9,1570,3,8,129,991,3967,1400000US06037201302,"Census Tract 2013.02, Los Angeles County, California",201302,Montecito Heights,"(34.098103, -118.1841585)",34.098103,-118.1841585
201401,44000,Los Angeles city - El Sereno,4,2501,2620,189,149,5,534,0,7,36,4201,5121,1400000US06037201401,"Census Tract 2014.01, Los Angeles County, California",201401,El Sereno,"(34.0809785, -118.18591)",34.0809785,-118.18591
201402,44000,Los Angeles city - El Sereno,4,2196,2233,146,21,12,808,2,2,13,3425,4429,1400000US06037201402,"Census Tract 2014.02, Los Angeles County, California",201402,El Sereno,"(34.0686905, -118.188445)",34.0686905,-118.188445
201501,44000,Los Angeles city - El Sereno,4,2808,2774,203,37,15,498,0,13,18,4798,5582,1400000US06037201501,"Census Tract 2015.01, Los Angeles County, California",201501,El Sereno,"(34.0872435, -118.1663745)",34.0872435,-118.16637450000002
201503,44000,Los Angeles city - El Sereno,4,1675,1873,97,10,0,167,1,0,14,3259,3548,1400000US06037201503,"Census Tract 2015.03, Los Angeles County, California",201503,El Sereno,"(34.0853625, -118.1734105)",34.0853625,-118.1734105
201504,44000,Los Angeles city - El Sereno,4,1273,1312,84,20,14,186,0,1,7,2273,2585,1400000US06037201504,"Census Tract 2015.04, Los Angeles County, California",201504,El Sereno,"(34.0810995, -118.1730255)",34.0810995,-118.1730255
201601,44000,Los Angeles city - El Sereno,4,1140,1233,102,33,6,286,0,4,9,1933,2373,1400000US06037201601,"Census Tract 2016.01, Los Angeles County, California",201601,El Sereno,"(34.071752, -118.17646)",34.071752000000004,-118.17646
201602,44000,Los Angeles city - El Sereno,4,1429,1522,107,16,0,307,2,3,10,2506,2951,1400000US06037201602,"Census Tract 2016.02, Los Angeles County, California",201602,El Sereno,"(34.075975, -118.168817)",34.075975,-118.16881699999999
201700,44000,Los Angeles city - El Sereno,4,955,993,131,38,0,194,2,0,13,1570,1948,1400000US06037201700,"Census Tract 2017, Los Angeles County, California",201700,El Sereno,"(34.068283, -118.1738345)",34.068283,-118.1738345
201700,44000,Los Angeles city - University Hills,4,1579,1650,294,286,9,746,0,11,50,1833,3229,1400000US06037201700,"Census Tract 2017, Los Angeles County, California",201700,El Sereno,"(34.068283, -118.1738345)",34.068283,-118.1738345
203100,44000,Los Angeles city - Boyle Heights,4,2524,2714,52,71,13,75,0,4,15,5008,5238,1400000US06037203100,"Census Tract 2031, Los Angeles County, California",203100,Boyle Heights,"(34.059408, -118.197818)",34.059408000000005,-118.197818
203200,44000,Los Angeles city - Boyle Heights,4,2654,2604,53,22,3,48,1,30,3,5098,5258,1400000US06037203200,"Census Tract 2032, Los Angeles County, California",203200,Boyle Heights,"(34.0517485, -118.1981725)",34.051748499999995,-118.19817250000001
203300,44000,Los Angeles city - Boyle Heights,4,1429,1146,229,276,3,260,0,13,11,1783,2575,1400000US06037203300,"Census Tract 2033, Los Angeles County, California",203300,Boyle Heights,"(34.059558, -118.205929)",34.059558,-118.205929
203500,44000,Los Angeles city - Boyle Heights,4,998,1002,34,20,4,199,0,12,13,1718,2000,1400000US06037203500,"Census Tract 2035, Los Angeles County, California",203500,Boyle Heights,"(34.0549495, -118.2212065)",34.0549495,-118.2212065
203500,44000,Los Angeles city - Wholesale District,4,561,572,10,0,0,120,0,0,0,1003,1133,1400000US06037203500,"Census Tract 2035, Los Angeles County, California",203500,Boyle Heights,"(34.0549495, -118.2212065)",34.0549495,-118.2212065
203600,44000,Los Angeles city - Boyle Heights,4,2841,2999,78,10,12,46,0,12,4,5678,5840,1400000US06037203600,"Census Tract 2036, Los Angeles County, California",203600,Boyle Heights,"(34.0509745, -118.2085545)",34.0509745,-118.20855449999999
203710,44000,Los Angeles city - Boyle Heights,4,1773,1738,33,28,5,25,0,8,2,3410,3511,1400000US06037203710,"Census Tract 2037.10, Los Angeles County, California",203710,Boyle Heights,"(34.04985, -118.2009955)",34.04985,-118.2009955
203720,44000,Los Angeles city - Boyle Heights,4,2158,2177,45,33,0,33,0,10,20,4194,4335,1400000US06037203720,"Census Tract 2037.20, Los Angeles County, California",203720,Boyle Heights,"(34.046939, -118.203105)",34.046939,-118.20310500000001
